出發日期,出發時間,出發機場代號,抵達時間,抵達機場代號,航空公司,停靠站數量,停留時間,飛行時間,是否過夜,機型,航班代碼,艙等,價格
出發日期,出發時間,出發機場代號,抵達時間,抵達機場代號,航空公司,停靠站數量,停留時間,飛行時間,是否過夜,機型,航班代碼,艙等,價格
2025-01-20 Monday,晚上9:15,TPE,晚上8:55,LAX,國泰航空 國泰航空,需轉機 1 次的航班。,1 小時,15 小時 40 分鐘,No,Boeing 777 Boeing 777,CX 479 CX 880,經濟艙 經濟艙,"$17,471"
2025-01-20 Monday,上午10:45,TPE,上午9:55,LAX,達美航空 達美航空,需轉機 1 次的航班。,1 小時 5 分鐘,15 小時 10 分鐘,No,Airbus A330-900neo Boeing 737,DL 68 DL 1628,經濟艙 經濟艙,"$19,076"
2025-01-20 Monday,上午11:20,TPE,清晨6:50,LAX,長榮航空,需轉機 1 次的航班。,未找到停留時間,11 小時 30 分鐘,No,Boeing 777,BR 6,經濟艙,"$24,076"
2025-01-20 Monday,上午8:20,TPE,晚上8:55,LAX,國泰航空 國泰航空,需轉機 1 次的航班。,13 小時 55 分鐘,28 小時 35 分鐘,No,Boeing 777 Boeing 777,CX 407 CX 880,經濟艙 經濟艙,"$17,471"
2025-01-20 Monday,上午9:50,TPE,晚上8:55,LAX,國泰航空 國泰航空,需轉機 1 次的航班。,12 小時 20 分鐘,27 小時 5 分鐘,No,Airbus A350 Boeing 777,CX 499 CX 880,經濟艙 經濟艙,"$17,471"
2025-01-20 Monday,上午9:50,TPE,晚上8:55,LAX,國泰航空 國泰航空,需轉機 1 次的航班。,12 小時 35 分鐘,27 小時 5 分鐘,No,Airbus A330 Boeing 777,CX 469 CX 880,經濟艙 經濟艙,"$17,471"
2025-01-20 Monday,上午10:45,TPE,晚上8:55,LAX,國泰航空 國泰航空,需轉機 1 次的航班。,11 小時 25 分鐘,26 小時 10 分鐘,No,Boeing 777 Boeing 777,CX 489 CX 880,經濟艙 經濟艙,"$17,471"
2025-01-20 Monday,中午12:25,TPE,晚上8:55,LAX,國泰航空 國泰航空,需轉機 1 次的航班。,9 小時 55 分鐘,24 小時 30 分鐘,No,Airbus A330 Boeing 777,CX 461 CX 880,經濟艙 經濟艙,"$17,471"
2025-01-20 Monday,下午1:20,TPE,晚上8:55,LAX,國泰航空 國泰航空,需轉機 1 次的航班。,9 小時,23 小時 35 分鐘,No,Airbus A330 Boeing 777,CX 495 CX 880,經濟艙 經濟艙,"$17,471"
2025-01-20 Monday,下午3:50,TPE,晚上8:55,LAX,國泰航空 國泰航空,需轉機 1 次的航班。,6 小時 30 分鐘,21 小時 5 分鐘,No,Airbus A330 Boeing 777,CX 443 CX 880,經濟艙 經濟艙,"$17,471"
2025-01-20 Monday,下午5:00,TPE,晚上8:55,LAX,國泰航空 國泰航空,需轉機 1 次的航班。,5 小時 20 分鐘,19 小時 55 分鐘,No,Airbus A330 Boeing 777,CX 421 CX 880,經濟艙 經濟艙,"$17,471"
2025-01-20 Monday,晚上7:30,TPE,晚上8:55,LAX,國泰航空 國泰航空,需轉機 1 次的航班。,2 小時 50 分鐘,17 小時 25 分鐘,No,Boeing 777 Boeing 777,CX 565 CX 880,經濟艙 經濟艙,"$17,471"
2025-01-20 Monday,晚上7:40,TPE,晚上8:55,LAX,國泰航空 國泰航空,需轉機 1 次的航班。,2 小時 40 分鐘,17 小時 15 分鐘,No,Boeing 777 Boeing 777,CX 451 CX 880,經濟艙 經濟艙,"$17,471"
2025-01-20 Monday,上午10:45,TPE,下午2:51,LAX,達美航空 達美航空,需轉機 1 次的航班。,5 小時 55 分鐘,20 小時 6 分鐘,No,Airbus A330-900neo Airbus A321neo,DL 68 DL 2752,經濟艙 經濟艙,"$19,076"
2025-01-20 Monday,上午10:45,TPE,下午4:33,LAX,達美航空 達美航空,需轉機 1 次的航班。,7 小時 45 分鐘,21 小時 48 分鐘,No,Airbus A330-900neo Boeing 737,DL 68 DL 2830,經濟艙 經濟艙,"$19,076"
2025-01-20 Monday,上午10:45,TPE,晚上11:01,LAX,達美航空 達美航空,需轉機 1 次的航班。,14 小時 10 分鐘,28 小時 16 分鐘,No,Airbus A330-900neo Boeing 737,DL 68 DL 2854,經濟艙 經濟艙,"$19,076"
2025-01-20 Monday,晚上9:50,TPE,"上午8:00 (星期二, 1月 21)",LAX,菲律賓航空 菲律賓航空,需轉機 1 次的航班。,11 小時 10 分鐘,26 小時 10 分鐘,No,Airbus A321 Boeing 777,PR 895 PR 112,經濟艙 經濟艙,"$19,152"
2025-01-20 Monday,上午10:20,TPE,晚上7:00,LAX,菲律賓航空 菲律賓航空,需轉機 1 次的航班。,9 小時 55 分鐘,24 小時 40 分鐘,No,Airbus A321 Boeing 777,PR 891 PR 102,經濟艙 經濟艙,"$20,452"
2025-01-20 Monday,上午10:45,TPE,下午1:22,LAX,達美航空 達美航空,需轉機 1 次的航班。,4 小時 30 分鐘,18 小時 37 分鐘,No,Airbus A330-900neo Boeing 737,DL 68 DL 2769,經濟艙 經濟艙,"$21,756"
2025-01-20 Monday,上午10:45,TPE,晚上8:46,LAX,達美航空 達美航空,需轉機 1 次的航班。,11 小時 54 分鐘,26 小時 1 分鐘,No,Airbus A330-900neo Boeing 737,DL 68 DL 2861,經濟艙 經濟艙,"$21,756"
2025-01-20 Monday,上午8:20,TPE,上午9:05,LAX,國泰航空 國泰航空,需轉機 1 次的航班。,1 小時 55 分鐘,16 小時 45 分鐘,No,Boeing 777 Boeing 777,CX 407 CX 884,經濟艙 經濟艙,"$22,021"
2025-01-20 Monday,上午8:20,TPE,下午1:20,LAX,國泰航空 國泰航空,需轉機 1 次的航班。,6 小時 10 分鐘,21 小時,No,Boeing 777 Boeing 777,CX 407 CX 882,經濟艙 經濟艙,"$22,021"
