出發日期,出發時間,出發機場代號,抵達時間,抵達機場代號,航空公司,停靠站數量,停留時間,飛行時間,是否過夜,機型,航班代碼,艙等,價格
2025-01-20 Monday,上午8:05,TPE,上午10:10,HKG,星宇航空,直達航班。,Non-stop,2 小時 5 分鐘,No,Airbus A321neo,JX 233,商務艙,"$11,772"
2025-01-20 Monday,下午4:30,TPE,下午6:30,HKG,星宇航空,直達航班。,Non-stop,2 小時,No,Airbus A321neo,JX 235,商務艙,"$11,772"
2025-01-20 Monday,下午2:30,TPE,下午4:30,HKG,中華航空,直達航班。,Non-stop,2 小時,No,Airbus A321neo,CI 915,商務艙,"$13,178"
2025-01-20 Monday,中午12:25,TPE,下午2:20,HKG,長榮航空,直達航班。,Non-stop,1 小時 55 分鐘,No,Airbus A321neo,BR 869,商務艙,"$13,293"
2025-01-20 Monday,上午9:50,TPE,上午11:50,HKG,國泰航空,直達航班。,Non-stop,2 小時,No,Airbus A321neo,CX 469,商務艙,"$14,271"
2025-01-20 Monday,上午11:55,TPE,下午1:55,HKG,香港航空,直達航班。,Non-stop,2 小時,No,Airbus A321neo,HX 253,商務艙,無法提供價格資訊
2025-01-20 Monday,清晨7:15,TPE,上午9:15,HKG,中華航空,直達航班。,Non-stop,2 小時,No,Airbus A321neo,CI 601,商務艙,"$13,178"
2025-01-20 Monday,上午8:05,TPE,上午10:05,HKG,中華航空,直達航班。,Non-stop,2 小時,No,Airbus A321neo,CI 903,商務艙,"$13,178"
2025-01-20 Monday,上午10:50,TPE,中午12:55,HKG,中華航空,直達航班。,Non-stop,2 小時 5 分鐘,No,Airbus A321neo,CI 909,商務艙,"$13,178"
2025-01-20 Monday,下午4:55,TPE,晚上7:00,HKG,中華航空,直達航班。,Non-stop,2 小時 5 分鐘,No,Airbus A321neo,CI 919,商務艙,"$13,178"
2025-01-20 Monday,下午6:10,TPE,晚上8:10,HKG,中華航空,直達航班。,Non-stop,2 小時,No,Airbus A321neo,CI 923,商務艙,"$13,178"
2025-01-20 Monday,晚上10:30,TPE,"凌晨12:20 (星期二, 1月 21)",HKG,中華航空,直達航班。,Non-stop,1 小時 50 分鐘,No,Airbus A321neo,CI 607,商務艙,"$13,178"
2025-01-20 Monday,下午2:25,TPE,下午4:25,HKG,長榮航空,直達航班。,Non-stop,2 小時,No,Airbus A321neo,BR 855,商務艙,"$13,293"
2025-01-20 Monday,下午4:35,TPE,下午6:30,HKG,長榮航空,直達航班。,Non-stop,1 小時 55 分鐘,No,Airbus A321neo,BR 871,商務艙,"$13,293"
2025-01-20 Monday,下午6:10,TPE,晚上8:05,HKG,長榮航空,直達航班。,Non-stop,1 小時 55 分鐘,No,Airbus A321neo,BR 857,商務艙,"$13,293"
2025-01-20 Monday,晚上7:00,TPE,晚上8:50,HKG,長榮航空,直達航班。,Non-stop,1 小時 50 分鐘,No,Airbus A321neo,BR 809,商務艙,"$13,293"
2025-01-20 Monday,上午8:20,TPE,上午10:30,HKG,國泰航空,直達航班。,Non-stop,2 小時 10 分鐘,No,Airbus A321neo,CX 407,商務艙,"$14,271"
2025-01-20 Monday,上午9:50,TPE,中午12:05,HKG,國泰航空,直達航班。,Non-stop,2 小時 15 分鐘,No,Airbus A321neo,CX 499,商務艙,"$14,271"
2025-01-20 Monday,上午10:45,TPE,下午1:00,HKG,國泰航空,直達航班。,Non-stop,2 小時 15 分鐘,No,Airbus A321neo,CX 489,商務艙,"$14,271"
2025-01-20 Monday,中午12:25,TPE,下午2:30,HKG,國泰航空,直達航班。,Non-stop,2 小時 5 分鐘,No,Airbus A321neo,CX 461,商務艙,"$14,271"
2025-01-20 Monday,下午1:20,TPE,下午3:25,HKG,國泰航空,直達航班。,Non-stop,2 小時 5 分鐘,No,Airbus A321neo,CX 495,商務艙,"$14,271"
2025-01-20 Monday,下午3:50,TPE,下午5:55,HKG,國泰航空,直達航班。,Non-stop,2 小時 5 分鐘,No,Airbus A321neo,CX 443,商務艙,"$14,271"
2025-01-20 Monday,下午5:00,TPE,晚上7:05,HKG,國泰航空,直達航班。,Non-stop,2 小時 5 分鐘,No,Airbus A321neo,CX 421,商務艙,"$14,271"
2025-01-20 Monday,下午6:35,TPE,晚上8:40,HKG,國泰航空,直達航班。,Non-stop,2 小時 5 分鐘,No,Airbus A321neo,CX 473,商務艙,"$14,271"
2025-01-20 Monday,晚上7:30,TPE,晚上9:35,HKG,國泰航空,直達航班。,Non-stop,2 小時 5 分鐘,No,Airbus A321neo,CX 565,商務艙,"$14,271"
2025-01-20 Monday,晚上7:40,TPE,晚上9:45,HKG,國泰航空,直達航班。,Non-stop,2 小時 5 分鐘,No,Airbus A321neo,CX 451,商務艙,"$14,271"
2025-01-20 Monday,晚上8:15,TPE,晚上10:20,HKG,國泰航空,直達航班。,Non-stop,2 小時 5 分鐘,No,Airbus A321neo,CX 531,商務艙,"$14,271"
2025-01-20 Monday,晚上9:15,TPE,晚上11:25,HKG,國泰航空,直達航班。,Non-stop,2 小時 10 分鐘,No,Airbus A321neo,CX 479,商務艙,"$14,271"
2025-01-20 Monday,上午9:50,TPE,上午11:50,HKG,長榮航空,直達航班。,Non-stop,2 小時,No,Airbus A321neo,BR 867,商務艙,"$16,365"
2025-01-20 Monday,上午10:20,TPE,下午5:55,HKG,菲律賓航空,直達航班。,Non-stop,2 小時 15 分鐘,No,Airbus A321neo,PR 891,商務艙,"$20,151"
2025-01-20 Monday,上午10:20,TPE,晚上9:40,HKG,菲律賓航空,直達航班。,Non-stop,2 小時 15 分鐘,No,Airbus A321neo,PR 891,商務艙,"$20,151"
2025-01-20 Monday,上午10:20,TPE,"上午10:15 (星期二, 1月 21)",HKG,菲律賓航空,直達航班。,Non-stop,2 小時 15 分鐘,No,Airbus A321neo,PR 891,商務艙,"$20,151"
2025-01-20 Monday,晚上9:50,TPE,"上午10:15 (星期二, 1月 21)",HKG,菲律賓航空,直達航班。,Non-stop,2 小時 20 分鐘,No,Airbus A321neo,PR 895,商務艙,"$20,151"
2025-01-20 Monday,晚上9:50,TPE,"中午12:25 (星期二, 1月 21)",HKG,菲律賓航空,直達航班。,Non-stop,2 小時 20 分鐘,No,Airbus A321neo,PR 895,商務艙,"$20,151"
2025-01-20 Monday,晚上9:50,TPE,"下午5:55 (星期二, 1月 21)",HKG,菲律賓航空,直達航班。,Non-stop,2 小時 20 分鐘,No,Airbus A321neo,PR 895,商務艙,"$20,151"
2025-01-20 Monday,晚上9:50,TPE,"晚上9:40 (星期二, 1月 21)",HKG,菲律賓航空,直達航班。,Non-stop,2 小時 20 分鐘,No,Airbus A321neo,PR 895,商務艙,"$20,151"
2025-01-20 Monday,清晨7:00,TPE,上午9:00,HKG,長榮航空,直達航班。,Non-stop,2 小時,No,Airbus A321neo,BR 891,商務艙,"$21,419"
2025-01-20 Monday,上午8:05,TPE,上午10:05,HKG,長榮航空,直達航班。,Non-stop,2 小時,No,Airbus A321neo,BR 851,商務艙,"$21,419"
2025-01-20 Monday,清晨7:35,TPE,下午5:55,HKG,中華航空,直達航班。,Non-stop,2 小時 20 分鐘,No,Airbus A321neo,CI 701,商務艙,"$21,800"
2025-01-20 Monday,清晨7:35,TPE,晚上9:40,HKG,中華航空,直達航班。,Non-stop,2 小時 20 分鐘,No,Airbus A321neo,CI 701,商務艙,"$21,800"
2025-01-20 Monday,下午1:35,TPE,晚上9:40,HKG,中華航空,直達航班。,Non-stop,2 小時 20 分鐘,No,Airbus A321neo,CI 703,商務艙,"$21,800"
2025-01-20 Monday,下午1:35,TPE,"上午10:15 (星期二, 1月 21)",HKG,中華航空,直達航班。,Non-stop,2 小時 20 分鐘,No,Airbus A321neo,CI 703,商務艙,"$21,800"
2025-01-20 Monday,晚上11:50,TPE,"上午10:15 (星期二, 1月 21)",HKG,中華航空,直達航班。,Non-stop,2 小時 20 分鐘,No,Airbus A321neo,CI 709,商務艙,"$21,800"
2025-01-20 Monday,晚上11:50,TPE,"中午12:25 (星期二, 1月 21)",HKG,中華航空,直達航班。,Non-stop,2 小時 20 分鐘,No,Airbus A321neo,CI 709,商務艙,"$21,800"
2025-01-20 Monday,晚上11:50,TPE,"下午5:55 (星期二, 1月 21)",HKG,中華航空,直達航班。,Non-stop,2 小時 20 分鐘,No,Airbus A321neo,CI 709,商務艙,"$21,800"
2025-01-20 Monday,清晨7:45,TPE,下午3:20,HKG,越南航空,直達航班。,Non-stop,3 小時 40 分鐘,No,Airbus A321neo,VN 571,商務艙,"$24,575"
2025-01-20 Monday,清晨7:45,TPE,晚上11:15,HKG,越南航空,直達航班。,Non-stop,3 小時 40 分鐘,No,Airbus A321neo,VN 571,商務艙,"$24,575"
2025-01-20 Monday,上午11:00,TPE,"上午11:30 (星期二, 1月 21)",HKG,廈門航空,直達航班。,Non-stop,1 小時 45 分鐘,No,Airbus A321neo,MF 888,商務艙,"$24,738"
2025-01-20 Monday,上午11:15,TPE,下午4:55,HKG,中國東方航空,直達航班。,Non-stop,1 小時 45 分鐘,No,Airbus A321neo,MU 2010,商務艙,"$26,192"
2025-01-20 Monday,上午11:00,TPE,晚上10:20,HKG,廈門航空,直達航班。,Non-stop,1 小時 45 分鐘,No,Airbus A321neo,MF 888,商務艙,"$26,637"
2025-01-20 Monday,上午11:25,TPE,晚上10:40,HKG,廈門航空,直達航班。,Non-stop,1 小時 45 分鐘,No,Airbus A321neo,MF 880,商務艙,"$26,637"
2025-01-20 Monday,上午11:25,TPE,晚上7:20,HKG,廈門航空,直達航班。,Non-stop,1 小時 45 分鐘,No,Airbus A321neo,MF 880,商務艙,"$27,798"
2025-01-20 Monday,清晨7:55,TPE,下午4:50,HKG,中華航空,直達航班。,Non-stop,2 小時 25 分鐘,No,Airbus A321neo,CI 160,商務艙,"$28,135"
2025-01-20 Monday,清晨7:55,TPE,晚上11:10,HKG,中華航空,直達航班。,Non-stop,2 小時 25 分鐘,No,Airbus A321neo,CI 160,商務艙,"$28,135"
2025-01-20 Monday,中午12:25,TPE,晚上11:10,HKG,大韓航空,直達航班。,Non-stop,2 小時 25 分鐘,No,Airbus A321neo,KE 186,商務艙,"$28,135"
出發日期,出發時間,出發機場代號,抵達時間,抵達機場代號,航空公司,停靠站數量,停留時間,飛行時間,是否過夜,機型,航班代碼,艙等,價格
2025-01-20 Monday,上午8:05,TPE,上午10:10,HKG,星宇航空,直達航班。,Non-stop,2 小時 5 分鐘,No,Airbus A321neo,JX 233,商務艙,"$11,772"
2025-01-20 Monday,下午4:30,TPE,下午6:30,HKG,星宇航空,直達航班。,Non-stop,2 小時,No,Airbus A321neo,JX 235,商務艙,"$11,772"
2025-01-20 Monday,下午2:30,TPE,下午4:30,HKG,中華航空,直達航班。,Non-stop,2 小時,No,Airbus A321neo,CI 915,商務艙,"$13,178"
2025-01-20 Monday,中午12:25,TPE,下午2:20,HKG,長榮航空,直達航班。,Non-stop,1 小時 55 分鐘,No,Airbus A321neo,BR 869,商務艙,"$13,293"
