出發日期,出發時間,出發機場代號,抵達時間,抵達機場代號,航空公司,停靠站數量,停留時間,飛行時間,是否過夜,機型,航班代碼,艙等,價格
2025-01-20 Monday,下午2:05,TPE,下午4:05,HKG,香港快運航空,直達航班。,Non-stop,2 小時,No,Airbus A320neo,UO 111,經濟艙,"$1,505"
2025-01-20 Monday,上午10:50,TPE,中午12:50,HKG,Greater Bay Airlines,直達航班。,Non-stop,2 小時,No,Airbus A320neo,HB 703,經濟艙,"$2,283"
2025-01-20 Monday,上午11:55,TPE,下午1:55,HKG,香港航空,直達航班。,Non-stop,2 小時,No,Airbus A320neo,HX 253,經濟艙,"$2,842"
2025-01-20 Monday,下午2:50,TPE,下午4:55,HKG,香港快運航空,直達航班。,Non-stop,2 小時 5 分鐘,No,Airbus A320neo,UO 113,經濟艙,"$1,505"
2025-01-20 Monday,下午5:40,TPE,晚上7:35,HKG,香港快運航空,直達航班。,Non-stop,1 小時 55 分鐘,No,Airbus A320neo,UO 115,經濟艙,"$1,881"
2025-01-20 Monday,晚上9:10,TPE,晚上11:10,HKG,香港快運航空,直達航班。,Non-stop,2 小時,No,Airbus A320neo,UO 117,經濟艙,"$1,881"
2025-01-20 Monday,晚上9:20,TPE,晚上11:20,HKG,Greater Bay Airlines,直達航班。,Non-stop,2 小時,No,Airbus A320neo,HB 705,經濟艙,"$2,283"
2025-01-20 Monday,下午3:45,TPE,下午6:05,HKG,香港航空,直達航班。,Non-stop,2 小時 20 分鐘,No,Airbus A320neo,HX 255,經濟艙,"$2,842"
2025-01-20 Monday,晚上8:25,TPE,晚上10:25,HKG,香港航空,直達航班。,Non-stop,2 小時,No,Airbus A320neo,HX 285,經濟艙,"$2,842"
2025-01-20 Monday,晚上9:45,TPE,晚上11:45,HKG,香港航空,直達航班。,Non-stop,2 小時,No,Airbus A320neo,HX 283,經濟艙,"$2,842"
2025-01-20 Monday,上午8:05,TPE,上午10:10,HKG,星宇航空,直達航班。,Non-stop,2 小時 5 分鐘,No,Airbus A320neo,JX 233,經濟艙,"$3,267"
2025-01-20 Monday,下午4:30,TPE,下午6:30,HKG,星宇航空,直達航班。,Non-stop,2 小時,No,Airbus A320neo,JX 235,經濟艙,"$3,267"
2025-01-20 Monday,清晨7:15,TPE,上午9:15,HKG,中華航空,直達航班。,Non-stop,2 小時,No,Airbus A320neo,CI 601,經濟艙,"$3,592"
2025-01-20 Monday,上午8:05,TPE,上午10:05,HKG,中華航空,直達航班。,Non-stop,2 小時,No,Airbus A320neo,CI 903,經濟艙,"$3,592"
2025-01-20 Monday,上午10:50,TPE,中午12:55,HKG,中華航空,直達航班。,Non-stop,2 小時 5 分鐘,No,Airbus A320neo,CI 909,經濟艙,"$3,592"
2025-01-20 Monday,下午2:30,TPE,下午4:30,HKG,中華航空,直達航班。,Non-stop,2 小時,No,Airbus A320neo,CI 915,經濟艙,"$3,592"
2025-01-20 Monday,下午4:55,TPE,晚上7:00,HKG,中華航空,直達航班。,Non-stop,2 小時 5 分鐘,No,Airbus A320neo,CI 919,經濟艙,"$3,592"
2025-01-20 Monday,下午6:10,TPE,晚上8:10,HKG,中華航空,直達航班。,Non-stop,2 小時,No,Airbus A320neo,CI 923,經濟艙,"$3,592"
2025-01-20 Monday,晚上10:30,TPE,"凌晨12:20 (星期二, 1月 21)",HKG,中華航空,直達航班。,Non-stop,1 小時 50 分鐘,No,Airbus A320neo,CI 607,經濟艙,"$3,592"
2025-01-20 Monday,清晨7:00,TPE,上午9:00,HKG,長榮航空,直達航班。,Non-stop,2 小時,No,Airbus A320neo,BR 891,經濟艙,"$3,715"
2025-01-20 Monday,上午8:05,TPE,上午10:05,HKG,長榮航空,直達航班。,Non-stop,2 小時,No,Airbus A320neo,BR 851,經濟艙,"$3,715"
2025-01-20 Monday,上午9:50,TPE,上午11:50,HKG,長榮航空,直達航班。,Non-stop,2 小時,No,Airbus A320neo,BR 867,經濟艙,"$3,715"
2025-01-20 Monday,中午12:25,TPE,下午2:20,HKG,長榮航空,直達航班。,Non-stop,1 小時 55 分鐘,No,Airbus A320neo,BR 869,經濟艙,"$3,715"
2025-01-20 Monday,下午2:25,TPE,下午4:25,HKG,長榮航空,直達航班。,Non-stop,2 小時,No,Airbus A320neo,BR 855,經濟艙,"$3,715"
2025-01-20 Monday,下午4:35,TPE,下午6:30,HKG,長榮航空,直達航班。,Non-stop,1 小時 55 分鐘,No,Airbus A320neo,BR 871,經濟艙,"$3,715"
2025-01-20 Monday,下午6:10,TPE,晚上8:05,HKG,長榮航空,直達航班。,Non-stop,1 小時 55 分鐘,No,Airbus A320neo,BR 857,經濟艙,"$3,715"
2025-01-20 Monday,晚上7:00,TPE,晚上8:50,HKG,長榮航空,直達航班。,Non-stop,1 小時 50 分鐘,No,Airbus A320neo,BR 809,經濟艙,"$3,715"
2025-01-20 Monday,上午8:20,TPE,上午10:30,HKG,國泰航空,直達航班。,Non-stop,2 小時 10 分鐘,No,Airbus A320neo,CX 407,經濟艙,"$4,515"
2025-01-20 Monday,上午9:50,TPE,上午11:50,HKG,國泰航空,直達航班。,Non-stop,2 小時,No,Airbus A320neo,CX 469,經濟艙,"$4,515"
2025-01-20 Monday,上午9:50,TPE,中午12:05,HKG,國泰航空,直達航班。,Non-stop,2 小時 15 分鐘,No,Airbus A320neo,CX 499,經濟艙,"$4,515"
2025-01-20 Monday,上午10:45,TPE,下午1:00,HKG,國泰航空,直達航班。,Non-stop,2 小時 15 分鐘,No,Airbus A320neo,CX 489,經濟艙,"$4,515"
2025-01-20 Monday,中午12:25,TPE,下午2:30,HKG,國泰航空,直達航班。,Non-stop,2 小時 5 分鐘,No,Airbus A320neo,CX 461,經濟艙,"$4,515"
2025-01-20 Monday,下午1:20,TPE,下午3:25,HKG,國泰航空,直達航班。,Non-stop,2 小時 5 分鐘,No,Airbus A320neo,CX 495,經濟艙,"$4,515"
2025-01-20 Monday,下午3:50,TPE,下午5:55,HKG,國泰航空,直達航班。,Non-stop,2 小時 5 分鐘,No,Airbus A320neo,CX 443,經濟艙,"$4,515"
